question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval04,emotion,27,6,-0.6031417846679688,-0.1078948974609375
eval04,emotion,27,7,0.36935901641845703,-0.042865753173828125
eval04,emotion,27,8,-0.039447784423828125,0.18527603149414062
eval04,emotion,27,9,-0.4454202651977539,-0.24988365173339844
eval04,emotion,27,10,-0.49901866912841797,-0.1997356414794922
eval04,emotion,27,11,0.08268451690673828,-0.09648895263671875
eval04,emotion,27,12,-0.2966032028198242,-0.10831642150878906
eval04,emotion,27,13,0.024199485778808594,-0.243377685546875
eval04,emotion,27,14,0.4030265808105469,0.15492820739746094
eval04,emotion,27,15,0.16460251808166504,0.0718994140625
eval04,emotion,27,16,-0.29726409912109375,-0.1609654426574707
eval04,emotion,27,17,0.1363058090209961,0.0379180908203125
eval04,emotion,27,18,-0.1942143440246582,0.01590871810913086
eval04,emotion,27,19,0.054413795471191406,0.0020372867584228516
eval04,emotion,27,20,-0.37168121337890625,-0.3838033676147461
eval04,persona,20,1,0.24884796142578125,0.06913280487060547
eval04,persona,20,2,0.46685791015625,0.2407550811767578
eval04,persona,20,3,0.2626667022705078,0.13229846954345703
eval04,persona,20,4,0.09157085418701172,0.04934120178222656
eval04,persona,20,5,0.05152606964111328,0.042459964752197266
eval04,persona,20,6,0.020943760871887207,-0.0034093856811523438
eval04,persona,20,7,0.007848024368286133,-0.004473447799682617
eval04,persona,20,8,0.012913703918457031,0.009726524353027344
eval04,persona,20,9,-0.0019392967224121094,0.005323648452758789
eval04,persona,20,10,0.04780864715576172,-0.00324404239654541
eval04,persona,20,11,-0.008485794067382812,-0.008176326751708984
eval04,persona,20,12,0.019989013671875,-0.008127212524414062
eval04,persona,20,13,0.0005369186401367188,-0.0028743743896484375
eval04,persona,20,14,-0.007936477661132812,-0.004838109016418457
eval04,persona,20,15,0.011659622192382812,0.0046443939208984375
eval04,persona,20,16,-0.0004787445068359375,-0.0009579658508300781
eval04,persona,20,17,0.0025429725646972656,0.0014019012451171875
eval04,persona,20,18,0.0020351409912109375,-0.008388519287109375
eval04,persona,20,19,-0.004435539245605469,-0.0011286735534667969
eval04,persona,20,20,0.008021831512451172,0.011129140853881836
eval04,persona,27,1,2.826570510864258,1.0906352996826172
eval04,persona,27,2,2.335298538208008,1.5942916870117188
eval04,persona,27,3,1.9426460266113281,1.0095436573028564
eval04,persona,27,4,1.1009979248046875,0.3719291687011719
eval04,persona,27,5,1.5388526916503906,0.8890562057495117
eval04,persona,27,6,0.08246612548828125,0.19992828369140625
eval04,persona,27,7,0.9629459381103516,-0.1121063232421875
eval04,persona,27,8,0.40825748443603516,0.1313629150390625
eval04,persona,27,9,-0.12281131744384766,-0.2462749481201172
eval04,persona,27,10,0.3565244674682617,-0.00118255615234375
eval04,persona,27,11,0.6102705001831055,0.019929885864257812
eval04,persona,27,12,0.11622428894042969,0.24332618713378906
eval04,persona,27,13,0.23380374908447266,-0.4228219985961914
eval04,persona,27,14,1.1608161926269531,0.3618202209472656
eval04,persona,27,15,0.10146856307983398,-0.050537109375
eval04,persona,27,16,0.00617671012878418,0.06484746932983398
eval04,persona,27,17,0.06256818771362305,0.05906963348388672
eval04,persona,27,18,-0.0802006721496582,0.07284402847290039
eval04,persona,27,19,0.009291648864746094,-0.007952213287353516
eval04,persona,27,20,0.18302536010742188,-0.10063552856445312
eval05,emotion,20,1,0.31298828125,0.6202149391174316
eval05,emotion,20,2,0.10534286499023438,0.3096189498901367
eval05,emotion,20,3,0.07502365112304688,0.13393831253051758
eval05,emotion,20,4,0.0665426254272461,0.18741703033447266
eval05,emotion,20,5,0.0756998062133789,0.09047079086303711
eval05,emotion,20,6,-0.01493072509765625,0.09682226181030273
eval05,emotion,20,7,0.025981903076171875,0.05356025695800781
eval05,emotion,20,8,-0.01578235626220703,0.0872793197631836
eval05,emotion,20,9,0.04385042190551758,0.05588555335998535
eval05,emotion,20,10,0.05884265899658203,0.08108854293823242
eval05,emotion,20,11,0.051299214363098145,0.05880999565124512
eval05,emotion,20,12,0.029964327812194824,0.03276777267456055
